keys,zh-TW
achievement_unlocked_title,成就解鎖！
achievements_menu_button,成就
achievements_progress_format,已解鎖 %d / %d
achievement_hidden_name,???
achievement_hidden_desc,此成就解鎖前將保持隱藏
achievement_category_gameplay,遊戲玩法
achievement_category_resistance,反抗路線
achievement_category_loyalist,忠誠路線
achievement_category_character,角色故事線
achievement_category_discovery,探索
achievement_rookie_officer_name,新手警官
achievement_rookie_officer_desc,完成您在邊境的首次輪班
achievement_veteran_officer_name,海關老兵
achievement_veteran_officer_desc,完成您在邊境的10次輪班
achievement_master_officer_name,海關大師
achievement_master_officer_desc,完成您在邊境的25次輪班
achievement_sharpshooter_name,神射手
achievement_sharpshooter_desc,使用飛彈系統阻止10名邊境逃犯
achievement_border_defender_name,邊境守衛者
achievement_border_defender_desc,使用飛彈系統阻止50名邊境逃犯
achievement_perfect_shot_name,完美射擊
achievement_perfect_shot_desc,對邊境逃犯造成5次完美命中
achievement_high_scorer_name,高分玩家
achievement_high_scorer_desc,達到10分
achievement_score_legend_name,分數傳奇
achievement_score_legend_desc,達到50分
achievement_savior_of_spud_name,薯國救星
achievement_savior_of_spud_desc,完成故事並拯救國家
achievement_born_diplomat_name,天生外交家
achievement_born_diplomat_desc,透過和平談判達成外交結局
achievement_tater_of_justice_name,正義薯人
achievement_tater_of_justice_desc,對腐敗官員伸張正義
achievement_best_served_hot_name,復仇趁熱上
achievement_best_served_hot_desc,對那些傷害你的人實施復仇
achievement_down_with_tatriarchy_name,打倒薯人父權
achievement_down_with_tatriarchy_desc,領導革命並推翻政權
achievement_heart_of_stone_name,鐵石心腸
achievement_heart_of_stone_desc,始終保持冷酷服從的官僚直到最後
achievement_survivor_name,倖存者
achievement_survivor_desc,不惜一切代價於政權中倖存
achievement_late_bloomer_name,大器晚成
achievement_late_bloomer_desc,在最後一刻尋求救贖
achievement_tommys_legacy_name,湯米的遺產
achievement_tommys_legacy_desc,揭露關於湯米命運的真相
achievement_elenas_memory_name,艾蓮娜的記憶
achievement_elenas_memory_desc,緬懷艾蓮娜的犧牲並銘記她的故事
achievement_the_note_name,紙條
achievement_the_note_desc,發現秘密紙條及其隱藏訊息
achievement_root_of_evil_name,萬惡之源
achievement_root_of_evil_desc,揭露政權核心的腐敗
achievement_chaos_architect_name,混亂策劃者
achievement_chaos_architect_desc,擁抱混亂，坐視世界燃燒
