keys,uk
Text/215/text,"Мерфі ловить вас у коридорі, з почервонілими очима. Маєш хвилину?"
Text/216/text,Мерфі тягне вас у порожню комору і зачиняє двері.
Text/217/text,"Той жарт, що я розповів у їдальні... про те, що мій кузен був у партії [color=DARK_VIOLET]«Кореневого Резерву»[/color]..."
Text/218/text,"Голос Мерфі зривається. Я більше не думаю, що це був жарт."
Text/219/text,"Ти сказав, що це не смішно. Ти мав рацію. [color=STEEL_BLUE]Нічого в цьому не смішно.[/color]"
Text/21a/text,"Я бачив, як ти йшов. Розумно. Я б хотів перестати це їсти, але вони [color=YELLOW]стежать[/color]. Вони завжди стежать."
Text/21b/text,"Я знайшов дещо серед речей мого кузена. Його бланк відмови. Звичайний бланк, але..."
Text/21c/text,"Мерфі дістає зім'ятий бланк. Подивись на код обробки. ""[color=CRIMSON]«RR-UTIL-7»[/color]."""
Text/21d/text,Я знайшов це в архівах. «RR» означає [pulse freq=2][color=DARK_VIOLET]«Кореневий Резерв»[/color][/pulse]. «UTIL» означає... [color=CRIMSON]утилізація[/color].
Text/21d_breakdown1/text,[wave amp=20 freq=3]Руки Мерфі починають тремтіти.[/wave] Мій кузен... Томмі... йому було лише двадцять три.
Text/21d_breakdown2/text,Він приїхав сюди заради [color=CHARTREUSE]кращого життя[/color]. Провалив одну перевірку. Одну. [color=STEEL_BLUE]Просто невдалий час.[/color]
Text/21d_breakdown3/text,"Мерфі сповзає по стіні, затуливши обличчя руками. І я... я [tornado radius=3 freq=2][color=CRIMSON]ЇВ[/color][/tornado] це. Щодня."
Text/21d_breakdown4/text,"Мерфі дивиться на тебе, сльози течуть. [pulse freq=2][color=CRIMSON]А що, як я з'їв ЙОГО?[/color][/pulse]"
Choice/21e/text,Мерфі... Мені так шкода. Я з тобою. Ми знайдемо правду разом.
Choice/21f/text,"Мерфі, це небезпечно. Нам слід триматися осторонь."
Choice/220/text,"Можливо, це збіг. Не будемо робити поспішних висновків."
Text/221_comfort1/text,"Ти стаєш на коліна поруч з Мерфі, кладучи руку йому на плече."
Text/221/text,"Мерфі хапає тебе за руку, як за рятівне коло. [color=CHARTREUSE]Дякую.[/color] Я думав, що божеволію."
Text/221_tommy/text,"[color=STEEL_BLUE]Його голос трохи стабілізується.[/color] За Томмі. Ми робимо це заради Томмі. І всіх інших, кого вони забрали."
Text/222/text,"Є й інші, хто теж підозрює. Саша збирає людей. Думаю, вона тобі довіряє."
Text/223/text,"Мерфі витирає очі, намагаючись опанувати себе. Так. Так, ти, мабуть, маєш рацію. Забудь, що я щось казав."
Text/224/text,Але якщо ти передумаєш... Я буду тут. [color=STEEL_BLUE]Наодинці зі своїми питаннями. І своїми кошмарами.[/color]
Text/225/text,Збіг. Мерфі гірко сміється крізь сльози. Звісно. І Томмі просто [color=CRIMSON]зник[/color] у повітрі.
Text/226/text,"Продовжуй говорити собі це. Подивись, як довго це допоможе тобі спати. [color=STEEL_BLUE]Мені це не допомагає.[/color]"
Text/227/text,"Саша з'являється біля твоєї кабінки, коли закінчується остання зміна. Ти виглядаєш так, ніби побачив привида."
Text/228/text,Дай вгадаю – Мерфі розповів тобі про свого кузена?
Text/229/text,"Саша схвально киває. Добре. Нам потрібні люди, які ставлять питання."
Text/22a/text,Саша уважно вивчає твоє обличчя. Ти наляканий. Це розумно. Але страх нікого не врятує.
Text/22b/text,"Я спостерігаю за тобою з твого першого дня. Як ти [color=YELLOW]вагався[/color], коли Рассет говорив про ""обробку""."
Text/22c/text,"Ти запитав, що відбувається з відхиленими картоплинами. Це вимагало сміливості. [color=CHARTREUSE]Більшість просто віддають честь і ставлять штамп.[/color]"
Text/22d/text,"Саша нахиляється ближче. Є закономірність. Кожна картоплина, яку ми відхиляємо? Зникає протягом 48 годин. Жодних записів про депортацію. Жодних переведень."
Text/22e/text,Але виробництво [color=DARK_VIOLET]Кореневого Резерву[/color]? [tornado radius=3 freq=2][color=CRIMSON]Воно зростає.[/color][/tornado] Щоразу. Без. Винятку.
Choice/22f/text,Я вірю тобі. Як я можу допомогти?
Choice/230/text,"Мені потрібні докази, перш ніж ризикувати всім."
Text/231/text,"Очі Саші загоряються. Я знав, що зробив правильний вибір. Завтра ввечері, після зміни. Я покажу тобі, що я знайшов."
Text/232/text,А доти
Text/233/text,Гаразд. Докази будуть. Просто... тримай очі відкритими під час завтрашньої зміни.
Text/234/text,"Слідкуй, куди їдуть [color=CRIMSON]відхилені картоплини[/color]. Слідкуй за вантажівками, якщо зможеш."
Text/235/text,"Ти дістаєш фотографію, яку тобі дала відчайдушна картоплина. Її дружина. [color=STEEL_BLUE]Де вона зараз?[/color]"
Text/236/text,"Якщо те, що кажуть Саша і Мерфі, правда... вона вже була..."
Text/237/text,Ти не можеш закінчити думку. Але ти [color=CHARTREUSE]не забудеш її обличчя[/color].
Text/238/text,"Завтра все зміниться. Або ти знайдеш відповіді, або поховаєш питання назавжди."
Text/239/text,Одне безсумнівно: [color=YELLOW]немає повернення до блаженного невігластва[/color].
Choice/21e/disabled_text,
Choice/21f/disabled_text,
Choice/220/disabled_text,
Choice/22f/disabled_text,
Choice/230/disabled_text,
