keys,id
Text/102/text,"Bagus, kamu berhasil. Perlawanan [color=CHARTREUSE]semakin kuat[/color]. Berkat manifesto-manifesto itu, orang-orang melihat kebenaran."
Text/103/text,"Aku berhasil mendapatkan berkas ini dari sumber-sumber kita - jadwal produksi, daftar '[color=CRIMSON]bahan[/color]', nama-nama orang yang [color=DARK_SLATE_BLUE]menghilang[/color]."
Text/104/text,Ini bukan sekadar program suplemen makanan. Mereka [color=CRIMSON]memproses kentang[/color]...dan bukan dengan cara yang baik.
Text/105/text,"Memo internal dari Perdana Menteri Idaho sendiri, yang mengotorisasi ""[color=DARK_ORANGE]pemanfaatan aset yang ditolak.[/color]"""
Text/106/text,"Kuota untuk setiap pos pemeriksaan, dengan Bea Cukai Kentang memiliki rasio penolakan-ke-pemrosesan tertinggi."
Text/107/text,Situasi di luar telah memburuk. Kerumunan marah berkumpul di pos-pos pemeriksaan menuntut jawaban tentang Root Reserve.
Text/108/text,[color=YELLOW]SIARAN DARURAT[/color]: Peredaran [color=CRIMSON]dokumen palsu[/color] baru-baru ini telah menyebabkan kepanikan yang tidak perlu.
Text/109/text,Hadiah sebesar [color=GOLD]10.000 Kredit Kentang[/color] ditawarkan untuk informasi yang mengarah pada penangkapan para sabotir ini.
Text/10a/text,Mengonsumsi atau mendistribusikan propaganda ini sekarang diklasifikasikan sebagai [color=RED]pengkhianatan tingkat tinggi[/color].
Text/10b/text,Shift hari ini akan beroperasi di bawah protokol khusus. Setiap pelancong harus menjalani Penilaian Kesetiaan.
Text/10c/text,Mereka yang menunjukkan [color=CRIMSON]sentimen anti-pemerintah[/color] harus segera ditandai.
Text/10d/text,[color=CRIMSON]Pengkhianat di antara kita[/color] akan ditemukan. Dan ketika mereka ditemukan... [menarik jari melintasi tenggorokan]
Text/10e/text,"Sebuah kentang gugup mendekat, [color=GOLD]lencana daun kuning[/color] terlihat sebagian. Sebuah catatan kecil diselipkan di antara kertas-kertas: ""[color=CHARTREUSE]Rumah aman terkompromikan. Lokasi baru: Gudang 7, Sektor 4.[/color]"""
Choice/10f/text,Proses mereka dengan cepat dengan tanda UV (Bantu)
Choice/110/text,Laporkan mereka ke keamanan segera (Khianati)
Text/111/text,"Kelegaan membanjiri wajah mereka. ""Terima kasih. Kebenaran akan menang."""
Text/112/text,"Kengerian muncul saat kamu memberi sinyal keamanan. ""[wave amp=25 freq=3]Tidak, tolong! Saya punya keluarga![/wave]"" Lencana kuning mereka jatuh ke lantai."
Text/113/text,Bagus sekali. Kesetiaanmu dicatat.
Text/114/text,Keputusanmu diperhatikan. Bersiaplah. [tornado radius=3 freq=2][color=CHARTREUSE]Sesuatu yang besar akan datang[/color][/tornado]. Perlawanan sedang merencanakan aksi langsung.
Text/115/text,"Ketika itu terjadi, kamu perlu [color=YELLOW]memilih sisi[/color]. Tidak akan ada lagi jalan tengah."
Text/116/text,"Dengan setiap kentang yang kamu proses, kamu entah [pulse freq=2][color=CHARTREUSE]membantu revolusi[/color][/pulse] atau [pulse freq=2][color=CRIMSON]memungkinkan sistem yang mengerikan[/color][/pulse]."
Choice/10f/disabled_text,
Choice/110/disabled_text,
