keys,ru
Text/156/text,Добро пожаловать в [pulse freq=2][color=MEDIUM_VIOLET_RED]Таможню Спуда![/color][/pulse]
Text/157/text,"Это обучение научит вас [wave amp=15 freq=2][color=DARK_ORANGE]основным навыкам[/color][/wave], необходимым для защиты границ Спуда."
Text/158/text,Вы были выбраны на жизненно важную роль: [color=DARK_ORANGE]Офицер пограничной таможни[/color].
Text/159/text,Иммигрирующие картофелины будут выстраиваться в очередь у вашего офиса.
Text/15a/text,"Чтобы начать обработку картофелин, вам нужно открыть свою будку для обслуживания с помощью переключателя здесь."
Text/15b/text,"Вы будете сигнализировать каждой картофелине подойти к вашему офису, нажав на мегафон."
Text/15c/text,Картофелины будут входить в будку по одной и предъявлять свои документы.
Text/15d/text,Сначала переместите их документы на инспекционный стол для лучшего обзора.
Text/15e/text,"Затем ищите [tornado radius=3 freq=2][color=YELLOW]истекшие даты, неверную информацию или признаки подделки[/color][/tornado]."
Text/15f/text,"На вашем столе есть штампы для маркировки документов, вы можете нажать здесь, чтобы выдвинуть панель со штампами."
Text/160/text,Затем поместите документ под нужный вам штамп...
Text/161/text,"Нажмите на штамп, чтобы отметить документы как [color=CHARTREUSE]одобренные[/color] или [color=CRIMSON]отклоненные[/color]..."
Text/162/text,"И перетащите документ обратно картофелине, чтобы завершить ваше решение!"
Text/163/text,Иногда картофелины будут пытаться [color=CRIMSON]прорваться мимо вашего КПП[/color].
Text/164/text,"У вас есть прямая связь в вашей будке, которая позволяет вам управлять [pulse freq=3][color=CRIMSON]ракетными установками[/color][/pulse] вдоль пограничной стены."
Text/165/text,"Нажмите на этих ""беглецов"", чтобы запустить ракету и остановить их."
Text/166/text,"Помните, каждый беглец, который прорвется, будет засчитан как [wave amp=20 freq=3][color=CRIMSON]штраф против вас[/color][/wave]."
Text/167/text,"Слишком много штрафов, и ваша смена закончится... [tornado radius=3 freq=3][color=CRIMSON]навсегда.[/color][/tornado]"
Text/168/text,"Каждая смена имеет [color=DARK_ORANGE]квоту картофелин[/color], которые вам нужно обработать, чтобы закончить свой день."
Text/169/text,Ваш счет отслеживает вашу производительность по сравнению с вашими коллегами-офицерами на этом КПП и офицерами в отдаленных таможенных пунктах.
Text/16a/text,После каждой смены вы увидите сводку вашей производительности и удалось ли вам выполнить свой долг или нет.
Text/16b/text,"Вы увидите разбивку того, как вы справлялись с беглецами, и сколько документов вы обработали."
Text/16c/text,"Плюс любые бонусы, которые вы заработали за быструю обработку документов, идеальное выравнивание штампов или идеальное поражение картофелин-беглецов."
Text/16d/text,"Вы также получите оценку производительности, основанную на том, насколько хорошо вы обрабатывали картофелины во время вашей смены, и до 3 золотых штампов, если превзойдете ожидания."
Text/16e/text,"Здесь вы можете отправить свой счет за каждую смену в глобальную базу данных таможенных офицеров и посмотреть, как вы сравниваетесь с самыми элитными таможенными офицерами по всему миру."
Text/16f/text,"Если ваша смена была успешной, вы сможете продолжить, нажав «Продолжить» и начав следующую смену."
Text/170/text,"Ваша работа проста. Картофели прибывают к вашей будке, вы проверяете их документы и решаете, кто пройдет."
Text/171/text,"Я проведу вас по основам [color=YELLOW]шаг за шагом[/color]. Следуйте подсказкам, и вы освоитесь."
Text/172/text,Безопасность и защищенность Спада зависит от вашей [pulse freq=2][color=DARK_ORANGE]бдительности![/color][/pulse]
Text/174/text,Начнем вашу [color=YELLOW]тренировочную смену[/color]...
Text/180/text,Но будьте осторожны - не у каждого картофеля документы в порядке.
Text/181/text,[color=RED]Просроченные паспорта[/color] - это автоматический отказ. Без исключений.
Text/tut_001/text,Добро пожаловать в [pulse freq=2][color=MEDIUM_VIOLET_RED]Spud Customs![/color][/pulse]
Text/tut_002/text,Вас выбрали на важную роль: [color=DARK_ORANGE]Офицер пограничной таможни[/color].
Text/tut_003/text,"Ваша задача проста. Картофелины прибывают к вашей будке, вы проверяете их документы и решаете, кто пройдет."
Text/tut_004/text,Но будьте осторожны — не у каждой картофелины документы в порядке.
Text/tut_005/text,[color=RED]Просроченные паспорта[/color] — это автоматический отказ. Без исключений.
Text/tut_006/text,"Я познакомлю вас с основами [color=YELLOW]шаг за шагом[/color]. Следуйте подсказкам, и вы быстро освоитесь."
Text/tut_007/text,"[pulse freq=2][color=RED]И ещё одно![/color][/pulse] Некоторые картофелины попытаются [color=CRIMSON]сбежать[/color], когда посчитают, что их документы не пройдут проверку."
Text/tut_008/text,"Когда [color=RED]пограничный беглец[/color] попытается сбежать, вы увидите, как он промчится мимо вашей будки к границе."
Text/tut_009/text,Здесь в дело вступает ваша [color=CHARTREUSE]Пневматическая ракетная установка[/color]. Это большая кнопка на вашей панели управления.
Text/tut_010/text,"[color=YELLOW]Нажмите, чтобы выстрелить[/color], когда беглец будет в зоне досягаемости. Цельтесь в [color=GOLD]центр целевой зоны[/color] для получения бонусных очков!"
Text/tut_011/text,Но будьте осторожны — [color=RED]не попадите в невинные картофелины[/color] в очереди. Это будет стоить вам очков и принесет штраф!
Text/tut_012/text,Безопасность Spud зависит от вашей [pulse freq=2][color=DARK_ORANGE]бдительности![/color][/pulse]
Text/tut_013/text,Начнем вашу [color=YELLOW]тренировочную смену[/color]...
