keys,nl
alert_border_runner,GRENSOVERTREDER GEDETECTEERD!\nKlik om raket te lanceren!
alert_rejected_fleeing,AFGEWEZEN AARDAPPEL VLUCHT!\nKlik om raket te lanceren!
alert_runner_escaped,HARDLOPER ONTSNAPT!\nStrike toegevoegd!
citation_runner_escaped,Een grensrenner is ontsnapt! U slaagde er niet in om hem op tijd te onderscheppen.
alert_points_deducted,HARDLOPER ONTSNAPT!\nStrike toegevoegd!\n-{penalty} punten!
alert_perfect_hit,PERFECTE TREFFER! +{perfect} nauwkeurigheidsbonus punten
alert_perfect_stamp,PERFECT STEMPEL! +{points} punten!
alert_combo,COMBO x{mult}! +{streak} combo bonuspunten
alert_quota_met,"Quotum behaald, dienst voltooid! \nBonus: {bonus} punten!"
alert_strike_removed,Strike verwijderd!
alert_correct_decision,"U heeft de juiste keuze gemaakt, agent.\n+{points} punten!"
alert_wrong_decision,"U heeft onnodige ellende veroorzaakt, agent...\n+1 Strike!"
alert_potato_should_be_approved,\nDeze aardappel voldoet aan alle eisen en had goedgekeurd moeten worden.
incorrect_decision,Verkeerde beslissing bij documentverwerking.
alert_strike_out,Maximaal aantal strikes overschreden! Uw dienst is voorbij.
ui_score,Punten: {score}
ui_quota,Quotum: {current} / {target}
ui_strikes,Overtredingen: {current} / {max}
ui_click_megaphone,Klik op de megafoon om de volgende aardappel op te roepen
ui_drag_document,Sleep document naar de inspectietafel
ui_stamp_document,Selecteer een stempel om goed te keuren of af te wijzen
ui_check_violations,Controleer op documentovertredingen
Strike removed!,Strike verwijderd!
BORDER RUNNER DETECTED!\nClick to launch missile!,GRENSOVERTREDER GEDETECTEERD!\nKlik om raket te lanceren!
REJECTED POTATO FLEEING!\nClick to launch missile!,AFGEWEZEN AARDAPPEL VLUCHT!\nKlik om raket te lanceren!
RUNNER ESCAPED!\nStrike added!,HARDLOPER ONTSNAPT!\nStrike toegevoegd!
Click megaphone to call the next potato,Klik op de megafoon om de volgende aardappel op te roepen
Drag document to inspection table,Sleep document naar de inspectietafel
Select a stamp to approve or reject,Selecteer een stempel om goed te keuren of af te wijzen
Check for document violations,Controleer op documentovertredingen
rule_explanation_header,REGEL UITLEG:
rule_explanation_fresh,Guarda il campo 'Condizione'. Se dice qualcosa di diverso da 'Fresco' - RIFIUTA
rule_explanation_sweet_potato,Kijk naar het veld 'Type'. Als het 'Zoete Aardappel' zegt - AFWIJZEN (geen vergunningen)
rule_explanation_chip_hill,Kijk naar het veld 'Land'. Als het 'Chip Hill' zegt - AFWIJZEN (verboden)
rule_explanation_age,Kijk naar het veld 'Geboortedatum'. Bereken de leeftijd en controleer tegen de regel
rule_explanation_gender,Kijk naar het veld 'Geslacht' en controleer tegen de huidige regel
rule_footer_text,Deze regels moeten worden gehandhaafd voor ALLE aardappelen
rule_expired_note,Verlopen documenten moeten ALTIJD worden afgewezen.
rule_tutorial_hint,Hulp nodig? Klik op elke regel voor een uitleg
alert_correct_decision_detailed,JUISTE BESLISSING! +{points} punten\n{reason}
alert_wrong_decision_detailed,VERKEERDE BESLISSING! Strike toegevoegd!\n{reason}
alert_reason_approved,Aardappel voldoet aan alle eisen - GOEDGEKEURD
alert_reason_should_reject,Je had deze aardappel moeten AFWIJZEN
tutorial_check_type,Controleer het veld 'Type' in het paspoort
tutorial_check_condition,Controleer het veld 'Conditie' in het paspoort
tutorial_check_country,Controleer het veld 'Land' in het paspoort
tutorial_check_age,Controleer de 'Geboortedatum' om de leeftijd te berekenen
tutorial_check_gender,Controleer het veld 'Geslacht' in het paspoort
alert_streak_bonus_minigame,5 op rij! BONUS MINIGAME!
alert_perfect_stamps_bonus_minigame,Perfecte stempels! BONUS MINIGAME!
alert_runner_bonus_minigame,Verdachte activiteit! BONUS MINIGAME!
alert_new_minigame_unlocked,Nieuwe minigame ontgrendeld: {name}!
alert_minigame_bonus,Minigame bonus: +{bonus} punten!
high_score_display,Hoogste score: {score}
new_high_score,NIEUWE HOOGSTE SCORE!
month_1,Januari
citation_trash_label,PRULLENBAK
citation_header,OFFICIËLE WAARSCHUWING
citation_from_supervisor,Van: Supervisor Russet
citation_dismiss_hint,[Sleep naar prullenbak om te sluiten]
